time,mean_G
2059,29.472
2060,29.446
2061,29.42
2062,29.456
2063,29.482
2064,29.524
2065,29.552
2066,29.588
2067,29.554
2068,29.566
2069,29.534
2070,29.53
2071,29.476
2072,29.442
2073,29.46
2074,29.48
2075,29.52
2076,29.556
2077,29.524
2078,29.512
2079,29.552
2080,29.612
2081,29.562
2082,29.554
2083,29.516
2084,29.494
2085,29.468
2086,29.458
2087,29.428
2088,29.37
2089,29.348
2090,29.336
2091,29.362
2092,29.396
2093,29.404
2094,29.384
2095,29.368
2096,29.324
2097,29.306
2098,29.286
2099,29.244
2100,29.244
2101,29.264
2102,29.31
2103,29.264
2104,29.252
2105,29.272
2106,29.212
2107,29.17
2108,29.168
2109,29.21
2110,29.214
2111,29.218
2112,29.276
2113,29.306
2114,29.342
2115,29.374
2116,29.38
2117,29.394
2118,29.346
2119,29.39
2120,29.384
2121,29.362
2122,29.334
2123,29.316
2124,29.372
2125,29.354
2126,29.334
2127,29.4
2128,29.402
2129,29.446
2130,29.47
2131,29.468
2132,29.486
2133,29.52
2134,29.488
